ID,Sales
T1188341,42275
T1188342,42275
T1188343,42275
T1188344,42275
T1188345,42275
T1188346,42275
T1188347,42275
T1188348,42275
T1188349,42275
T1188350,42275
T1188351,42275
T1188352,42275
T1188353,42275
T1188354,42275
T1188355,42275
T1188356,42275
T1188357,42275
T1188358,42275
T1188359,42275
T1188360,42275
T1188361,42275
T1188362,42275
T1188363,42275
T1188364,42275
T1188365,42275
T1188366,42275
T1188367,42275
T1188368,42275
T1188369,42275
T1188370,42275
T1188371,42275
T1188372,42275
T1188373,42275
T1188374,42275
T1188375,42275
T1188376,42275
T1188377,42275
T1188378,42275
T1188379,42275
T1188380,42275
T1188381,42275
T1188382,42275
T1188383,42275
T1188384,42275
T1188385,42275
T1188386,42275
T1188387,42275
T1188388,42275
T1188389,42275
T1188390,42275
T1188391,42275
T1188392,42275
T1188393,42275
T1188394,42275
T1188395,42275
T1188396,42275
T1188397,42275
T1188398,42275
T1188399,42275
T1188400,42275
T1188401,42275
T1188402,42275
T1188403,42275
T1188404,42275
T1188405,42275
T1188406,42275
T1188407,42275
T1188408,42275
T1188409,42275
T1188410,42275
T1188411,42275
T1188412,42275
T1188413,42275
T1188414,42275
T1188415,42275
T1188416,42275
T1188417,42275
T1188418,42275
T1188419,42275
T1188420,42275
T1188421,42275
T1188422,42275
T1188423,42275
T1188424,42275
T1188425,42275
T1188426,42275
T1188427,42275
T1188428,42275
T1188429,42275
T1188430,42275
T1188431,42275
T1188432,42275
T1188433,42275
T1188434,42275
T1188435,42275
T1188436,42275
T1188437,42275
T1188438,42275
T1188439,42275
T1188440,42275
T1188441,42275
T1188442,42275
T1188443,42275
T1188444,42275
T1188445,42275
T1188446,42275
T1188447,42275
T1188448,42275
T1188449,42275
T1188450,42275
T1188451,42275
T1188452,42275
T1188453,42275
T1188454,42275
T1188455,42275
T1188456,42275
T1188457,42275
T1188458,42275
T1188459,42275
T1188460,42275
T1188461,42275
T1188462,42275
T1188463,42275
T1188464,42275
T1188465,42275
T1188466,42275
T1188467,42275
T1188468,42275
T1188469,42275
T1188470,42275
T1188471,42275
T1188472,42275
T1188473,42275
T1188474,42275
T1188475,42275
T1188476,42275
T1188477,42275
T1188478,42275
T1188479,42275
T1188480,42275
T1188481,42275
T1188482,42275
T1188483,42275
T1188484,42275
T1188485,42275
T1188486,42275
T1188487,42275
T1188488,42275
T1188489,42275
T1188490,42275
T1188491,42275
T1188492,42275
T1188493,42275
T1188494,42275
T1188495,42275
T1188496,42275
T1188497,42275
T1188498,42275
T1188499,42275
T1188500,42275
T1188501,42275
T1188502,42275
T1188503,42275
T1188504,42275
T1188505,42275
T1188506,42275
T1188507,42275
T1188508,42275
T1188509,42275
T1188510,42275
T1188511,42275
T1188512,42275
T1188513,42275
T1188514,42275
T1188515,42275
T1188516,42275
T1188517,42275
T1188518,42275
T1188519,42275
T1188520,42275
T1188521,42275
T1188522,42275
T1188523,42275
T1188524,42275
T1188525,42275
T1188526,42275
T1188527,42275
T1188528,42275
T1188529,42275
T1188530,42275
T1188531,42275
T1188532,42275
T1188533,42275
T1188534,42275
T1188535,42275
T1188536,42275
T1188537,42275
T1188538,42275
T1188539,42275
T1188540,42275
T1188541,42275
T1188542,42275
T1188543,42275
T1188544,42275
T1188545,42275
T1188546,42275
T1188547,42275
T1188548,42275
T1188549,42275
T1188550,42275
T1188551,42275
T1188552,42275
T1188553,42275
T1188554,42275
T1188555,42275
T1188556,42275
T1188557,42275
T1188558,42275
T1188559,42275
T1188560,42275
T1188561,42275
T1188562,42275
T1188563,42275
T1188564,42275
T1188565,42275
T1188566,42275
T1188567,42275
T1188568,42275
T1188569,42275
T1188570,42275
T1188571,42275
T1188572,42275
T1188573,42275
T1188574,42275
T1188575,42275
T1188576,42275
T1188577,42275
T1188578,42275
T1188579,42275
T1188580,42275
T1188581,42275
T1188582,42275
T1188583,42275
T1188584,42275
T1188585,42275
T1188586,42275
T1188587,42275
T1188588,42275
T1188589,42275
T1188590,42275
T1188591,42275
T1188592,42275
T1188593,42275
T1188594,42275
T1188595,42275
T1188596,42275
T1188597,42275
T1188598,42275
T1188599,42275
T1188600,42275
T1188601,42275
T1188602,42275
T1188603,42275
T1188604,42275
T1188605,42275
T1188606,42275
T1188607,42275
T1188608,42275
T1188609,42275
T1188610,42275
T1188611,42275
T1188612,42275
T1188613,42275
T1188614,42275
T1188615,42275
T1188616,42275
T1188617,42275
T1188618,42275
T1188619,42275
T1188620,42275
T1188621,42275
T1188622,42275
T1188623,42275
T1188624,42275
T1188625,42275
T1188626,42275
T1188627,42275
T1188628,42275
T1188629,42275
T1188630,42275
T1188631,42275
T1188632,42275
T1188633,42275
T1188634,42275
T1188635,42275
T1188636,42275
T1188637,42275
T1188638,42275
T1188639,42275
T1188640,42275
T1188641,42275
T1188642,42275
T1188643,42275
T1188644,42275
T1188645,42275
T1188646,42275
T1188647,42275
T1188648,42275
T1188649,42275
T1188650,42275
T1188651,42275
T1188652,42275
T1188653,42275
T1188654,42275
T1188655,42275
T1188656,42275
T1188657,42275
T1188658,42275
T1188659,42275
T1188660,42275
T1188661,42275
T1188662,42275
T1188663,42275
T1188664,42275
T1188665,42275
T1188666,42275
T1188667,42275
T1188668,42275
T1188669,42275
T1188670,42275
T1188671,42275
T1188672,42275
T1188673,42275
T1188674,42275
T1188675,42275
T1188676,42275
T1188677,42275
T1188678,42275
T1188679,42275
T1188680,42275
T1188681,42275
T1188682,42275
T1188683,42275
T1188684,42275
T1188685,42275
T1188686,42275
T1188687,42275
T1188688,42275
T1188689,42275
T1188690,42275
T1188691,42275
T1188692,42275
T1188693,42275
T1188694,42275
T1188695,42275
T1188696,42275
T1188697,42275
T1188698,42275
T1188699,42275
T1188700,42275
T1188701,42275
T1188702,42275
T1188703,42275
T1188704,42275
T1188705,42275
T1188706,42275
T1188707,42275
T1188708,42275
T1188709,42275
T1188710,42275
T1188711,42275
T1188712,42275
T1188713,42275
T1188714,42275
T1188715,42275
T1188716,42275
T1188717,42275
T1188718,42275
T1188719,42275
T1188720,42275
T1188721,42275
T1188722,42275
T1188723,42275
T1188724,42275
T1188725,42275
T1188726,42275
T1188727,42275
T1188728,42275
T1188729,42275
T1188730,42275
T1188731,42275
T1188732,42275
T1188733,42275
T1188734,42275
T1188735,42275
T1188736,42275
T1188737,42275
T1188738,42275
T1188739,42275
T1188740,42275
T1188741,42275
T1188742,42275
T1188743,42275
T1188744,42275
T1188745,42275
T1188746,42275
T1188747,42275
T1188748,42275
T1188749,42275
T1188750,42275
T1188751,42275
T1188752,42275
T1188753,42275
T1188754,42275
T1188755,42275
T1188756,42275
T1188757,42275
T1188758,42275
T1188759,42275
T1188760,42275
T1188761,42275
T1188762,42275
T1188763,42275
T1188764,42275
T1188765,42275
T1188766,42275
T1188767,42275
T1188768,42275
T1188769,42275
T1188770,42275
T1188771,42275
T1188772,42275
T1188773,42275
T1188774,42275
T1188775,42275
T1188776,42275
T1188777,42275
T1188778,42275
T1188779,42275
T1188780,42275
T1188781,42275
T1188782,42275
T1188783,42275
T1188784,42275
T1188785,42275
T1188786,42275
T1188787,42275
T1188788,42275
T1188789,42275
T1188790,42275
T1188791,42275
T1188792,42275
T1188793,42275
T1188794,42275
T1188795,42275
T1188796,42275
T1188797,42275
T1188798,42275
T1188799,42275
T1188800,42275
T1188801,42275
T1188802,42275
T1188803,42275
T1188804,42275
T1188805,42275
T1188806,42275
T1188807,42275
T1188808,42275
T1188809,42275
T1188810,42275
T1188811,42275
T1188812,42275
T1188813,42275
T1188814,42275
T1188815,42275
T1188816,42275
T1188817,42275
T1188818,42275
T1188819,42275
T1188820,42275
T1188821,42275
T1188822,42275
T1188823,42275
T1188824,42275
T1188825,42275
T1188826,42275
T1188827,42275
T1188828,42275
T1188829,42275
T1188830,42275
T1188831,42275
T1188832,42275
T1188833,42275
T1188834,42275
T1188835,42275
T1188836,42275
T1188837,42275
T1188838,42275
T1188839,42275
T1188840,42275
T1188841,42275
T1188842,42275
T1188843,42275
T1188844,42275
T1188845,42275
T1188846,42275
T1188847,42275
T1188848,42275
T1188849,42275
T1188850,42275
T1188851,42275
T1188852,42275
T1188853,42275
T1188854,42275
T1188855,42275
T1188856,42275
T1188857,42275
T1188858,42275
T1188859,42275
T1188860,42275
T1188861,42275
T1188862,42275
T1188863,42275
T1188864,42275
T1188865,42275
T1188866,42275
T1188867,42275
T1188868,42275
T1188869,42275
T1188870,42275
T1188871,42275
T1188872,42275
T1188873,42275
T1188874,42275
T1188875,42275
T1188876,42275
T1188877,42275
